iter	Passed	Remaining
413	3445	4876
414	3455	4870
415	3468	4869
416	3474	4857
417	3478	4843
418	3488	4836
419	3499	4833
420	3504	4819
421	3508	4806
422	3517	4797
423	3522	4785
424	3532	4779
425	3536	4764
426	3541	4752
427	3554	4750
428	3560	4738
429	3565	4726
430	3571	4715
431	3576	4702
432	3584	4693
433	3604	4700
434	3613	4693
435	3623	4687
436	3631	4678
437	3643	4674
438	3651	4666
439	3663	4662
440	3667	4649
441	3672	4636
442	3677	4623
443	3685	4615
444	3693	4605
445	3697	4592
446	3701	4579
447	3706	4567
448	3711	4555
449	3719	4545
450	3726	4536
451	3730	4523
452	3735	4510
453	3741	4499
454	3745	4486
455	3755	4479
456	3762	4470
457	3773	4464
458	3781	4456
459	3787	4446
460	3795	4437
461	3812	4440
462	3820	4430
463	3826	4420
464	3832	4409
465	3845	4406
466	3857	4402
467	3865	4394
468	3872	4384
469	3878	4373
470	3885	4363
471	3890	4352
472	3896	4341
473	3913	4343
474	3922	4335
475	3935	4332
476	3942	4323
477	3951	4315
478	3964	4311
479	3976	4307
480	3982	4296
481	3992	4290
482	4002	4284
483	4010	4275
484	4027	4276
485	4047	4281
486	4056	4272
487	4059	4258
488	4063	4246
489	4068	4234
490	4072	4222
491	4077	4210
492	4081	4197
493	4086	4185
494	4496	4135	495	4497	4139	496	4498	4151	4168
499	4157	4157
500	4165	4148
501	4172	4139
502	4182	4132
503	4190	4123
504	4197	4114
505	4204	4105
506	4213	4097
507	4222	4089
508	4229	4079
509	4236	4070
510	4248	4065
511	4256	4056
512	4262	4046
513	4276	4043
514	4281	4031
515	4289	4023
516	4304	4021
517	4322	4022
518	4340	4022
519	4350	4015
520	4365	4013
521	4373	4004
522	4382	3996
523	4395	3992
524	4402	3983
525	4414	3978
526	4425	3971
527	4433	3963
528	4442	3955
529	4453	3949
530	4462	3941
531	4469	530	4532	4477	531	4533	4489	532	4454	3902
533	4465	3896
534	4472	3887
535	4493	3889
536	4501	3881
537	4511	3874
538	4523	3869
539	4528	3857
540	4537	3849
541	4554	3848
542	4562	3839
543	4567	3828
544	4577	3821
545	4592	3818
546	4602	3811
547	4624	3814
548	4638	3810
549	4649	3804
550	4661	3798
551	4675	3794
552	4680	3783
553	4686	3772
554	4699	3767
555	4709	3760
556	4718	3753
557	4731	3748
558	4742	3741
559	4759	3739
560	4765	3729
561	4774	3720
562	4786	3714
563	4793	3705
564	4802	3697
565	4821	3696
566	4832	3690
567	4844	3684
568	4858	3679
569	4871	3675
570	4878	3665
571	4883	3654
572	4888	3642
573	4895	3633
574	4901	3623
575	4911	3615
576	4919	3606
577	4936	3604
578	4947	3597
579	4956	3589
580	4965	3581
581	4971	3570
582	4979	3561
583	4992	3556
584	5001	3548
585	5010	3540
586	5021	3532
587	5028	3523
588	5033	3512
589	5051	3510
590	5064	3504
591	5074	3497
592	5086	3491
593	5099	3485
594	5112	3480
595	5126	3475
596	5135	3466
597	5142	3457
598	5149	3447
599	5156	3437
600	5162	3427
601	5169	3417
602	5173	3406
603	5179	3395
604	5187	3386
605	5196	3378
606	5201	3368
607	5207	3357
608	5214	3347
609	5220	3337
610	5226	3327
611	5231	3316
612	5237	3306
613	5243	3296
614	5249	3286
615	5255	3276
616	5261	3266
617	5266	3255
618	5274	3246
619	5280	3236
620	5285	3225
621	5289	3214
622	5294	3203
623	5300	3193
624	5306	3184
625	5313	3174
626	5320	3165
627	5327	3155
628	5341	3150
629	5351	3142
630	5358	3133
631	5370	3126
632	5379	3118
633	5393	3113
634	5407	3108
635	5414	3098
636	5420	3089
637	5429	3080
638	5436	3071
639	5443	3062
640	5448	3051
641	5462	3045
642	5471	3037
643	5476	3027
644	5482	3017
645	5490	3008
646	5503	3002
647	5515	2996
648	5532	2992
649	5538	2982
650	5551	2976
651	5573	2974
652	5596	2974
653	5604	2965
654	5618	2959
655	5626	2950
656	5632	2940
657	5646	2934
658	5659	2928
659	5669	2920
660	5683	2914
661	5692	2906
662	5702	2898
663	5711	2890
664	5720	2881
665	5727	2872
666	5747	2869
667	5754	2860
668	5764	2852
669	5771	2842
670	5783	2835
671	5799	2830
672	5808	2822
673	5816	2813
674	5824	2804
675	5831	2794
676	5841	2787
677	5856	2781
678	5864	2772
679	5870	2762
680	5879	2754
681	5889	2746
682	5902	2739
683	5912	2731
684	5921	2723
685	5929	2714
686	5936	2704
687	5943	2695
688	5950	2685
689	5956	2676
690	5961	2665
691	5967	2655
692	5976	2647
693	5985	2638
694	5994	2630
695	6000	2620
696	6010	2613
697	6020	2604
698	6030	2596
699	6040	2588
700	6046	2578
701	6054	2570
702	6059	2559
703	6063	2549
704	6069	2539
705	6073	2529
706	6076	2518
707	6081	2508
708	6085	2497
709	6090	2487
710	6094	2477
711	6097	2466
712	6102	2456
713	6105	2445
714	6109	2435
715	6113	2424
716	6117	2414
717	6121	2404
718	6124	2393
719	6128	2383
720	6132	2373
721	6136	2362
722	6141	2352
723	6145	2342
724	6149	2332
725	6153	2322
726	6159	2313
727	6164	2303
728	6169	2293
729	6173	2283
730	6177	2273
731	6181	2263
732	6185	2253
733	6189	2243
734	6196	2234
735	6202	2224
736	6208	22173737	6212	22073738	6218	21973739	6223	21874740	6229	217741	6261	2177
742	6268	2168
743	6273	2158
744	6279	2149
745	6286	2140
746	6294	2131
747	6301	2123
748	6306	2113
749	6322	2107
750	6330	2099
751	6342	2091
752	6350	2083
753	6360	2075
754	6365	2065
755	6371	2056
756	6380	2048
757	6392	2040
758	6399	2032
759	6410	2024
760	6417	2015
761	6427	2007
762	6432	1998
763	6441	1989
764	6451	1981
765	6465	1975
766	6475	1967
767	6487	1959
768	6496	1951
769	6506	1943
770	6511	1934
771	6517	1924
772	6522	1915
773	6532	1907
774	6540	1898
775	6546	1889
776	6550	1880
777	6558	1871
778	6566	1862
779	6575	1854
780	6585	1846
781	6590	1837
782	6594	1827
783	6601	1818
784	6606	1809
785	6614	1800
786	6621	1792
787	6627	1782
788	6638	1775
789	6645	1766
790	6651	1757
791	6656	1748
792	6665	1739
793	6671	1730
794	6676	1721
795	6686	1713
796	6693	1704
797	6699	1695
798	6704	1686
799	6711	1677
800	6721	1670
801	6730	1661
802	6737	1652
803	6744	1644
804	6753	1635
805	6758	1626
806	6764	1617
807	6776	1610
808	6786	1602
809	6798	1594
810	6808	1586
811	6820	1579
812	6833	1571
813	6846	1564
814	6851	1555
815	6859	1546
816	6866	1537
817	6871	1528
818	6877	1520
819	6882	1510
820	6887	1501
821	6893	1492
822	6899	1483
823	6905	1475
824	6912	1466
825	6916	1456
826	6920	1447
827	6926	1438
828	6932	1430
829	6940	1421
830	6951	1413
831	6959	1405
832	6966	1396
833	6974	1388
834	6982	1379
835	6989	1371
836	6996	1362
837	7001	1353
838	7007	1344
839	7012	1335
840	7018	1327
841	7024	1318
842	7030	1309
843	7035	1300
844	7040	1291
845	7046	1282
846	7052	1273
847	7057	1265
848	7064	1256
849	7070	1247
850	7075	1238
851	7080	1230
852	7087	1221
853	7094	1212
854	7100	1204
855	7106	1195
856	7112	1186
857	7119	1178
858859	7103	11859860	7121	1149
861	7129	1141
862	7138	1133
863	7148	1125
864	7159	1117
865	7173	1110
866	7183	1101
867	7190	1093
868	7197	1084
869	7203	1076
870	7208	1067
871	7213	1058
872	7220	1050
873	7231	1042
874	7237	1033
875	7242	1025
876	7250	1016
877	7256	1008
878	7262	999
879	7267	991
880	7272	982
881	7282	974
882	7288	965
883	7296	957
884	7301	948
885	7305	939
886	7311	931
887	7318	923
888	7326	914
889	7332	906
890	7336	897
891	7348	889
892	7356	881
893	7362	872
894	7372	864
895	7379	856
896	7389	848
897	7395	840
898	7400	831
899	7409	823
900	7417	815
901	7428	807
902	7434	798
903	7439	790
904	7450	782
905	7458	773
906	7465	765
907	7472	757
908	7480	748
909	7493	741
910	7499	732
911	7505	724
912	7519	716
913	7525	708
914	7535	700
915	7540	691
916	7550	683
917	7569	676
918	7583	668
919	7592	660
920	7599	651
921	7610	643
922	7617	635
923	7622	626
924	7631	618
925	7638	610
926	7646	602
927	7653	593
928	7660	585
929	7673	577
930	7680	569
931	7688	560
932	7697	552
933	7705	544
934	7712	536
935	7721	527
936	7729	519
937	7744	511
938	7750	503
939	7758	495
940	7765	486
941	7779	479
942	7790	470
943	7800	462
944	7807	454
945	7815	446
946	7820	437
947	7830	429
948	7836	421
949	7849	413
950	7856	404
951	7863	396
952	7869	388
953	7885	380
954	7892	371
955	7900	363
956	7920	355
957	7929	347
958	7938	339
959	7946	331
960	7950	322
961	7960	314
962	7967	306
963	7977	297
964	7982	289
965	7986	281
966	7991	272
967	8003	264
968	8010	256
969	8013	247
970	8017	239
971	8020	231
972	8024	222
973	8029	214
974	8033	205
975	8037	197
976	8041	189
977	8044	180
978	8047	172
979	8057	164
980	8061	156
981	8065	147
982	8069	139
983	8073	131
984	8076	122
985	8079	114
986	8088	106
987	8093	98
988	8098	90
989	8103	81
990	8107	73
991	8110	65
992	8120	57
993	8124	49
994	8132	40
995	8136	32
996	8139	24
997	8145	16
998	8148	8
999	8151	0
999	8113	0
