iter	RMSE
327	0.2016979953
328	0.2014152602
329	0.2012278989
330	0.2008511596
331	0.2005457867
332	0.2005338915
333	0.2004906046
334	0.2002332929
335	0.2000505131
336	0.1998366973
337	0.1996345213
338	0.199418635
339	0.1992666887
340	0.19892446
341	0.198725622
342	0.1984676691
343	0.1982655132
344	0.1979833715
345	0.1977325545
346	0.1975123848
347	0.1973674274
348	0.1971446972
349	0.1968338313
350	0.19659554
351	0.1964522147
352	0.196193642
353	0.1961586829
354	0.1959195691
355	0.1959083088
356	0.1955787421
357	0.195334156
358	0.1950641941
359	0.1947859449
360	0.1945960471
361	0.1942882085
362	0.1940987297
363	0.1938705261
364	0.1935803724
365	0.1933713797
366	0.1931225116
367	0.1928366344
368	0.1926800416
369	0.1924394803
370	0.1922046005
371	0.1918887346
372	0.1917109112
373	0.191518233
374	0.1912404784
375	0.1910298392
376	0.1908139587
377	0.1906634413
378	0.1906498733
379	0.1904347814
380	0.1902967658
381	0.190129615
382	0.1901194433
383	0.1898506811
384	0.1896814078
385	0.1896721016
386	0.1896625846
387	0.1894542872
388	0.1892530248
389	0.1890270864
390	0.1888416337
391	0.1886703335
392	0.1883778381
393	0.1881749505
394	0.1880051785
395	0.1879016063
396	0.1876431789
397	0.1873652681
398	0.1871155774
399	0.1870809136
400	0.1869173028
401	0.1868654764
402	0.186705089
403	0.1866040262
404	0.1864177018
405	0.1862795583
406	0.186037835
407	0.1858521598
408	0.185728437
409	0.1855779683
410	0.1854045302
411	0.1852530494
412	0.185199813
413	0.1850151072
414	0.1848424803
415	0.1846341863
416	0.184397076
417	0.1841297989
418	0.1840125266
419	0.183866017
420	0.1837348215
421	0.1835348479
422	0.1833770224
423	0.1831007932
424	0.1828329936
425	0.1826173322
426	0.1823989635
427	0.1822647843
428	0.1820325627
429	0.1818552616
430	0.181707372
431	0.1814962799
432	0.1812733259
433	0.1810246028
434	0.1809392484
435	0.1807329705
436	0.1806055597
437	0.1803950125
438	0.1802086278
439	0.1800488501
440	0.1798302537
441	0.1797105405
442	0.1795031156
443	0.1793879224
444	0.1792165735
445	0.1790503281
446	0.1788345147
447	0.1787328225
448	0.1785728324
449	0.1783458233
450	0.1781942135
451	0.1780727998
452	0.1779647889
453	0.1777986481
454	0.1776962844
455	0.177526294
456	0.1772760009
457	0.1770791829
458	0.1768680716
459	0.1767696315
460	0.1765936654
461	0.1765058378
462	0.1764157751
463	0.1762978875
464	0.1761881077
465	0.1760586771
466	0.1759573211
467	0.1758394194
468	0.1757294111
469	0.1757223196
470	0.1755678422
471	0.1753625521
472	0.175217951
473	0.1750550277
474	0.1748921955
475	0.1748859083
476	0.1747917688
477	0.1746592321
478	0.1745296354
479	0.1743070566
480	0.1741363338
481	0.1740626156
482	0.1739541484
483	0.173820936
484	0.1736491831
485	0.1734311888
486	0.1733258741
487	0.1732429478
488	0.1731549141
489	0.1730750881
490	0.1728292057
491	0.1727200659
492	0.1725966348
493	0.1724447478
494	0.1723084324
495	0.1722616837
496	0.172143464
497	498	0.1679745498499	0.16783116499500	0.1677461098
501	0.1676467557
502	0.1675129433
503	0.1674277574
504	0.1674007326
505	0.1672184881
506	0.1671066888
507	0.166988207
508	0.1668777894
509	0.1667628931
510	0.1665815971
511	0.1664036064
512	0.1662645358
513	0.1661872327
514	0.16599929514515	0.165821949
516	0.1657164899
517	0.1656035528
518	0.1655111052
519	0.1654050875
520	0.1652571072
521	0.1651368521
522	0.16499804522523	0.16486973523524	0.16473593524525	0.1647097142
526	0.16462486526527	0.16452710527528	0.16431871528529	0.16423415529530	0.16408501530	0.1673193826
531	0.1671504412
532	0.1670788495
533	0.1669705673
534	0.1669010322
535	0.1667779658
536	0.166652498
537	0.1665242858
538	0.1665199523
539	0.1663767161
540	0.1662543028
541	0.1660617794
542	0.1658914836
543	0.1656942233
544	0.1655612862
545	0.1654911365
546	0.1653783818
547	0.1652037268
548	0.1650710449
549	0.1649016311
550	0.1648003281
551	0.1647304758
552	0.1646030523
553	0.1644428834
554	0.1642463813
555	0.1641942761
556	0.1640799252
557	0.1639747594
558	0.1638651215
559	0.1637643344
560	0.1636613038
561	0.1635649247
562	0.1634682626
563	0.1632891884
564	0.1631282811
565	0.1629939767
566	0.1628101734
567	0.1626337758
568	0.1625195305
569	0.1623430336
570	0.162224532
571	0.1621038464
572	0.1619737257
573	0.1618861524
574	0.1618822312
575	0.161691085
576	0.1615696466
577	0.161466561
578	0.1612980721
579	0.1612316935
580	0.1611282793
581	0.1610202538
582	0.1608477485
583	0.1607402223
584	0.1606584836
585	0.1604543903
586	0.1602957403
587	0.1601567678
588	0.1599951941
589	0.1599042214
590	0.1597589235
591	0.159621948
592	0.1595223214
593	0.1594015139
594	0.1592462912
595	0.159087289
596	0.1589491904
597	0.1588411586
598	0.1586814851
599	0.1585811725
600	0.1584884307
601	0.1583924469
602	0.1583365829
603	0.1582097252
604	0.158012386
605	0.1578521074
606	0.1577293256
607	0.1575475311
608	0.1574465278
609	0.1573375532
610	0.1573336408
611	0.1572535001
612	0.1571174499
613	0.1570628403
614	0.1569395875
615	0.1567714622
616	0.156677517
617	0.1565966371
618	0.1564223461
619	0.1563082891
620	0.1562328921
621	0.1561330237
622	0.1560330167
623	0.1558867088
624	0.1557763574
625	0.1556806567
626	0.1555261101
627	0.155432871
628	0.1553394406
629	0.1552216997
630	0.1550919257
631	0.15494068
632	0.1548243822
633	0.154751501
634	0.1547065332
635	0.1545875594
636	0.1545066211
637	0.154480574
638	0.1543980983
639	0.1542243126
640	0.1541341855
641	0.1540157086
642	0.1538654102
643	0.1537015609
644	0.1535912099
645	0.153552709
646	0.153481421
647	0.1533818195
648	0.1531866052
649	0.1530782497
650	0.1529987674
651	0.1529086264
652	0.1528183531
653	0.1526762762
654	0.1525564527
655	0.1525416493
656	0.1525068042
657	0.1523667123
658	0.1522384835
659	0.152154238
660	0.1520693913
661	0.1519686253
662	0.1518618732
663	0.1517711158
664	0.1516760334
665	0.151642162
666	0.1515565669
667	0.1515316017
668	0.1514359414
669	0.1513115051
670	0.1512200705
671	0.1511316674
672	0.1510340738
673	0.1510107971
674	0.1508989769
675	0.1507992637
676	0.1507428748
677	0.1506282598
678	0.1504464363
679	0.1503116856
680	0.1501790823
681	0.1500555781
682	0.1499682583
683	0.1498697276
684	0.1498586186
685	0.1497667381
686	0.1496650344
687	0.1496338714
688	0.1495308894
689	0.1494471021
690	0.1493159493
691	0.1492591907
692	0.1491641256
693	0.1491533924
694	0.1490555378
695	0.1490004547
696	0.1488328451
697	0.1487164609
698	0.1485931799
699	0.1484729075
700	0.148469262
701	0.14837781
702	0.1482878197
703	0.1481786138
704	0.1480566642
705	0.1479059515
706	0.1478846564
707	0.1477742138
708	0.1476943932
709	0.1476127547
710	0.1475004059
711	0.1474568906
712	0.1473814971
713	0.1472406545
714	0.1471937002
715	0.1470596974
716	0.1469510392
717	0.1468576156
718	0.1467788696
719	0.1466696271
720	0.1465864887
721	0.1465101864
722	0.1463984987
723	0.1463239751
724	0.1462076233
725	0.1460618237
726	0.1459980298
727	0.1459370306
728	0.1458063877
729	0.1457065929
730	0.1455818254
731	0.1454789559
732	0.1453636581
733	0.1452305625
734	0.1451665356
735	0.1450747498
736	0.737	0.14343737	0.738	0.14333738	0.739	0.14326739	0.740	0.14312740	0.741	0.1430980734
742	0.1430146589
743	0.142933356
744	0.1428609964
745	0.1427543599
746	0.1426856946
747	0.1425694936
748	0.1425066286
749	0.1424387316
750	0.1423783391
751	0.1423012284
752	0.1421729877
753	0.1420501612
754	0.1420026454
755	0.1418773005
756	0.1417785293
757	0.1416326486
758	0.1415862961
759	0.1415290406
760	0.1414536473
761	0.1413574771
762	0.1412591716
763	0.1411553447
764	0.1411008673
765	0.1410293086
766	0.1409316475
767	0.1408349003
768	0.1407454981
769	0.1406761076
770	0.1405653695
771	0.1404510179
772	0.1404467659
773	0.1403656188
774	0.140244688
775	0.1401603442
776	0.1400761715
777	0.1399645909
778	0.1398474213
779	0.1397457431
780	0.139600676
781	0.1395444286
782	0.1394199254
783	0.1393287416
784	0.1392254606
785	0.1391100283
786	0.1390938299
787	0.1390498311
788	0.1389194867
789	0.1388201614
790	0.138755055
791	0.1386578613
792	0.138521026
793	0.1384106274
794	0.1383470183
795	0.1382824562
796	0.1381473872
797	0.1380568179
798	0.1379064628
799	0.1378653308
800	0.1377782298
801	0.13772884
802	0.1376606806
803	0.1375870468
804	0.1374769937
805	0.137386902
806	0.1373144276
807	0.1372339686
808	0.1371064526
809	0.1370390381
810	0.1369585717
811	0.136830024
812	0.1367768959
813	0.1367157999
814	0.1365998719
815	0.1365242363
816	0.1364420704
817	0.1363469526
818	0.1362296622
819	0.1361412676
820	0.1360445032
821	0.1359480192
822	0.1359005497
823	0.135859367
824	0.1358098147
825	0.135754856
826	0.1356933156
827	0.1356155098
828	0.135522047
829	0.1354371868
830	0.1353898791
831	0.1352679223
832	0.1351986786
833	0.1351235904
834	0.1350598354
835	0.1349467805
836	0.1348970476
837	0.1347941133
838	0.1347459964
839	0.1347422179
840	0.1346442204
841	0.1345596886
842	0.134455452
843	0.1343807841
844	0.1343291217
845	0.134212661
846	0.1341160499
847	0.1340740648
848	0.134001088
849	0.1339383034
850	0.1338719337
851	0.1338014408
852	0.1337144188
853	0.1336124663
854	0.133529894
855	0.13338944
856	0.1333093779
857	0.1332212205
858	0.1331290816
859	0.1330112122
860	0.1367102358
861	0.1366649416
862	0.1365739272
863	0.136505133
864	0.1364530102
865	0.1363554302
866	0.1362951701
867	0.136196317
868	0.136075317
869	0.1360467932
870	0.1360076874
871	0.1359639633
872	0.1359251436
873	0.1358312826
874	0.1357333699
875	0.1356639796
876	0.1355585714
877	0.1354600976
878	0.1353508325
879	0.1352850975
880	0.1352263503
881	0.1350786009
882	0.134994045
883	0.1349057464
884	0.1348204128
885	0.1347377082
886	0.1346920333
887	0.1345932006
888	0.1345213427
889	0.134459202
890	0.1343840747
891	0.134344381
892	0.1342900233
893	0.1342098169
894	0.1341479088
895	0.1340006812
896	0.1339180768
897	0.1338106802
898	0.133673079
899	0.1336269943
900	0.1335359804
901	0.1335108846
902	0.1334314186
903	0.1332891355
904	0.1332166981
905	0.1331268752
906	0.1331238867
907	0.133026006
908	0.1329569509
909	0.1329104933
910	0.1327592558
911	0.1326562021
912	0.1326050179
913	0.1325687477
914	0.1324957353
915	0.1323875166
916	0.1323083952
917	0.1323040602
918	0.132222451
919	0.1321218667
920	0.1320173101
921	0.1319459422
922	0.1318674716
923	0.1318131174
924	0.1317381735
925	0.131689603
926	0.131686179
927	0.1316254797
928	0.131575588
929	0.1315157075
930	0.131417611
931	0.1313557031
932	0.1313324329
933	0.1312150345
934	0.1311683541
935	0.1311411175
936	0.1311041147
937	0.1310722663
938	0.1309776075
939	0.1308779955
940	0.1307460064
941	0.1307182696
942	0.1307142117
943	0.1306500371
944	0.1305889403
945	0.1305273013
946	0.1304483152
947	0.1304442935
948	0.1303342015
949	0.1302417049
950	0.1301689303
951	0.130118441
952	0.1300639344
953	0.1300168077
954	0.1299696391
955	0.1298912039
956	0.1298095776
957	0.1296941436
958	0.1296456976
959	0.1295316068
960	0.1295288439
961	0.1294393891
962	0.1294367448
963	0.1293788709
964	0.1293753186
965	0.1293090852
966	0.1292367803
967	0.1291641773
968	0.1290977652
969	0.1290368257
970	0.1289722093
971	0.1289195548
972	0.1289161836
973	0.1288217696
974	0.1287344195
975	0.1286341063
976	0.1285248262
977	0.1284627382
978	0.1284285092
979	0.1283448354
980	0.1282390492
981	0.1281370738
982	0.1280918141
983	0.1280895055
984	0.1280170756
985	0.1279415292
986	0.1278719502
987	0.1278053742
988	0.1277354262
989	0.1276374169
990	0.1276089832
991	0.127501054
992	0.1274450266
993	0.1273716881
994	0.1273693401
995	0.1273324626
996	0.127267507
997	0.1271830967
998	0.1270983623
999	0.1270960557
62327
.1256570247
